,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
L052P,0.688735969177518,0.803398968843532,1.06557671753115,0.901063488586893,0.937757811238178,0.813541230950003,1.09666747457325,0.945850817418552,0.708761160079469,1.03529031559277,0.626600769262036,0.991309835049118,0.761668407212508,1.08021774965802,0.857362477424522,0.717755155361085,1.09751837792332,0.731538473941,1.1563315542329,0.946444295894322,0.762590554976776,0.770003011515301,1.02266105947375,0.906985136357968,0.848150407345802,0.901312650603974,0.708925577620917,0.81980379416869
L056P,0.725541190422756,0.832890519509488,1.0844289656628,0.948813238435128,0.941374009254688,0.797337012362271,1.11683272639373,0.999799166499451,0.811532358362482,1.01896465057711,0.580617517134845,1.00658136304793,0.794513997518619,1.07994661471699,0.865365653120032,0.661926822246944,1.07412606590622,0.740041949005829,1.10049684598925,0.958034553120847,0.761925751319981,0.73904237111501,1.0200778708223,0.929703875982563,0.832035293397914,0.916561884123537,0.727400925296701,0.823934414349853
L001T,0.804123938879497,0.884242997472743,1.07291281062492,0.932831693689023,0.95367374453291,0.831967921148979,1.17169881743235,1.05099877792013,0.878387040032694,1.01400720595415,0.542442178655103,1.02801350571026,0.817354729841025,1.06571664383403,0.80209693189634,0.757855356856894,1.10148575799129,0.779215602017088,1.11352638412161,1.00633090704681,0.778032742787607,0.475714323826188,1.02595091722462,0.943917941347413,0.860141503017582,0.941796965738905,0.602955920151609,0.861048066977449
L003T,0.589524821647455,0.883211804816555,0.970901019249913,0.890085860393593,0.942089611237761,0.82779742334438,1.10793279794441,1.02149443591848,0.868172071331047,0.901955326411614,0.512274524117159,1.03650053262035,0.564506161065618,1.0681339188209,0.75438482691744,0.642477467047344,0.973481356909596,0.781179553729156,1.10850856217654,0.975664107751779,0.730495762784869,0.645426193383703,1.00648870644048,0.818629587836047,0.797524957153139,0.881555569734374,0.680910966686812,0.900222867971164
L004T,0.703289800906606,0.954295762683863,1.03399274102402,0.879099463849357,0.970142443067247,0.826607867730571,1.15089040463778,1.03885575728339,0.893430349590531,0.969492759409352,0.569344723274203,1.0425300931623,0.767889881491408,1.06902375896021,0.796261576356997,0.733771320033265,1.04316937706935,0.859108975298208,1.17021542941321,0.961287844872204,0.79570887055973,0.631464514154171,1.02958663722694,0.8888402108787,0.831350070104388,0.926666139874855,0.72604251914542,0.890021763496516
L005T,0.389556474083368,0.787511148191517,0.926325543035091,0.862354062427897,0.931874403905403,0.806592708006783,1.09983616864089,0.947080369887783,0.813738370455687,0.966053271719238,0.601436363951094,1.02821147397075,0.587134692610785,1.03751637582405,0.678754650156963,0.582601784253882,0.904885806999132,0.805218431796967,1.07075632699946,0.962680031843757,0.6766550105553,0.579883886735101,0.991491498807181,0.785915355038067,0.839954701098834,0.856335761252788,0.644206683334454,0.83236956185477
L008T,0.751868402898913,0.929699785699753,1.05072259401967,0.93041506225021,0.939847436907649,0.820407826383337,1.13864193876285,0.982724357182463,0.872288661409012,0.982590584626783,0.572837584714358,1.02272274440911,0.809189263504203,1.07345254664881,0.783497228042914,0.691733245490439,1.04309263970058,0.780764759483065,1.16488966779304,0.974434923940327,0.782433199754869,0.591534027552614,0.988206543389114,0.937790046123152,0.83640113350527,0.920104715174942,0.703383235066402,0.855093479202244
L010T,0.757865515944855,0.940094587389674,1.01543303297398,0.781569777539187,0.960767363107017,0.798984456371603,1.12567473667865,0.994487160784941,0.81810444447954,0.906385826806057,0.546295202118254,1.01620750204255,0.783718188071162,1.02077788163874,0.770244780020519,0.688329430259362,0.997238829355849,0.851586032679189,1.1148250380945,0.936082060368537,0.762044336456592,0.509718986663426,0.972788588466612,0.793957630757245,0.807096946347347,0.872487913590866,0.641554122538724,0.862865697395353
L012T,0.604054222223162,0.856990872025787,1.01871337173333,0.870959467285924,0.966065719864502,0.800069201402319,1.11541579330521,0.965451122457655,0.796525616273383,0.983427502433761,0.49574062494943,1.00901402698721,0.67699062360631,1.04170751706187,0.818835495187592,0.625602645858737,1.01256268812057,0.663043765099585,1.08572242483266,0.946473015331614,0.727534132554953,0.71845020960427,0.993533715513518,0.856988070640906,0.779938772950817,0.874898931377835,0.66104292278065,0.790330071720531
L014T,0.539666202798752,0.881256322166734,0.955722164426944,0.868545812272718,0.950999998670817,0.837588448948214,1.11793139485407,1.0261645279886,0.861091396274364,0.955949019487244,0.547650330277462,1.04404128262634,0.688467318425084,1.04033241970896,0.783679845992047,0.608403042606446,0.973400281657479,0.795163629662434,1.11781815533001,0.975087820937923,0.735961138580577,0.683290740680093,0.963382317716657,0.826570987672758,0.814851688088954,0.871373523393121,0.670856938977446,0.864610129780575
