,amino_acid,lipid,nucleotide,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
TCGA.2Y.A9GY.01A.11R.A38B.07,0.662102570019581,0.402191584314835,0.653532870818634,-0.393848494720713,0.464688748469579,0.239646477408024,0.202148137215479,0.0566774472165968,0.105861403123025,0.180686407726579,0.0537709098835433,-0.290954748506013,-0.256158008369913,0.0157070553039482,-0.148965702861811,0.0759920549124917,0.041999534393799,0.18257782818367,0.261038053950579,0.0734382404981656,0.268218360982802
TCGA.DD.A4NO.01A.11R.A28V.07,0.762902919120946,0.772538138452041,0.536980988979484,-0.0420659118960411,0.434389672838045,-0.143929227744095,0.104665012243464,0.105243867788879,0.0206917553443078,-0.00184456379457836,0.166890688616667,-0.276789441033534,-0.165505733606936,-0.0769157298642414,-0.20399640867663,-0.0406530779794212,-0.293595503427098,0.0268387053701031,0.118093422881518,0.167157357227665,0.247979379174155
TCGA.DD.AACW.01A.11R.A41C.07,0.717555765845418,0.622415721370515,0.434504140236407,-0.165299108485152,0.340578831338156,-0.123351077205514,0.186534415056191,0.0672374694475179,0.126570095858924,0.19125129049239,-0.00377020033455602,-0.220615980127408,-0.230982057848476,-0.00251239412361631,-0.110316645890302,0.0677183211405159,-0.298009396533745,0.192100026285734,0.263922315153077,0.0617620290425889,0.210935501306228
TCGA.BC.A69H.01A.11R.A311.07,0.618171764758585,0.516692512896356,0.80121557164933,-0.192592547232502,0.406251589151565,-0.0213749631760068,0.204661425746356,-0.0133669359516413,0.134405738982775,0.229097713444368,0.120016233375163,-0.260703294394942,-0.223237342116269,0.0516971483968684,-0.145541736090551,0.11157911616836,-0.220266842413033,0.219752608526275,0.272229860761491,0.0762439848714608,0.0874868635157825
TCGA.DD.A3A8.01A.11R.A22L.07,0.77308698653488,0.824793403453159,0.473308424808487,-0.136318072063147,0.421559685765651,-0.0347217844243003,0.113948821383891,0.0872845818771086,0.0651399563578078,0.0778757951749099,-0.015854944683798,-0.114158729848649,-0.250417340297058,-0.0322157856694523,-0.198275462975291,0.0199540087633297,-0.297019851176502,0.11258834715691,0.179260734650494,0.0828948765810151,0.100160205702196
TCGA.5C.AAPD.01A.21R.A39D.07,0.633192691232527,0.48628839420143,0.739375783154392,-0.237101106516412,0.486880068826876,0.168592406950297,0.201809405894303,0.0340440779831484,0.0941997130694037,0.24254112287197,0.0904471483183558,-0.236182047361234,-0.276393341102794,0.00393373231466668,-0.318365403667668,0.0554107353096169,-0.037112242280243,0.208430350624167,0.236650953378929,0.147511397206706,0.021931888495118
TCGA.KR.A7K7.01A.11R.A33J.07,0.689785435531119,0.602720341582319,0.891613843040551,-0.264287268657311,0.456911317983247,0.127225572191583,0.200409618740443,0.122433356509988,0.121900258011537,0.224961281536121,0.0302686961062359,-0.369230621587904,-0.222583584806839,-0.0115975202188781,-0.184232912294219,0.0895091476579776,-0.0875038143633399,0.203989035200285,0.261702776236267,0.0226084719365936,0.171472468669053
TCGA.2Y.A9H4.01A.11R.A38B.07,0.903626698890434,0.717617050493756,0.79770408314012,-0.0886416388894034,0.45219218981932,0.0195650067384533,0.136915836010243,0.0423976130357507,0.106223851959943,0.207236197122001,0.094308305357333,-0.15919404874501,-0.265886906059517,0.00727672799371986,-0.28228982968572,0.0526330217458662,-0.298725514884381,0.194444310420554,0.270656310191346,0.12473076923404,0.177075751682478
TCGA.G3.A6UC.01A.21R.A33J.07,0.806779636189649,0.763781651239026,0.361423889743713,-0.164031410958204,0.465531228904018,-0.0328443657793609,0.108784159697515,0.0889601706344076,0.0807708122221367,0.112187385560869,0.115128921484367,-0.295504554222787,-0.309177009685631,0.00301844929647998,-0.203952099472725,0.0120331488191759,-0.298491148878718,0.120435087262899,0.214824299710789,0.119787143949277,0.296911846181782
TCGA.CC.A5UC.01A.11R.A28V.07,0.784455518352092,0.624024707307699,0.713664310838085,0.116883623593057,0.408651462546224,-0.0890900433022532,0.211665597239868,0.133120408627948,0.105061702093109,0.164111188101402,-0.00306295519774849,-0.0940219735623522,-0.146510930973743,0.00578049351980906,-0.104354285521846,0.0181215568277639,-0.294285581110438,0.154856191703643,0.223160996202052,0.255994142477389,0.204137335331952
