0	1	2	3	4	5	6	7	8	9	10	11	12	13
ACSL3	0.39578	0.35081	0.7227	0.31578	0.10764	0.01673	0.21426	0.07808	0.19538	0.42811	0.60462	0.29659	0.13849	0.03703
ACSL4	1.04026	0.90023	1.64297	1.24757	0.35792	0.09891	0.5398	0.12103	0.30176	0.62368	1.36003	0.22342	0.27155	0.18833
ACSL5	0.28536	0.07794	0.1765	0.08096	0.15139	0.10644	0.11246	0.10234	0.16376	0.91719	0.20863	0.62899	0.13177	0.17832
ACSL6	0.04244	0.057	0.1739	0.12182	0.08634	0.21546	0.04003	0.0663	0.04512	0.04221	0.23952	0.08357	0.05299	0.05732
ACSM1	0.04987	0.06952	0.16075	0.04869	0.00365	0.06678	0.02958	0.00046	0	0.00755	0.0844	0.07332	0	0.02131
ACSM2A	1.62794	0.61516	0.54018	0.2911	0.24247	0.97838	0.20606	0.21006	0.06445	1.25713	0.70212	1.20902	0.14276	0.28264
ACSM2B	1.51673	0.55461	0.85602	0.48586	0.17916	0.46736	0.23689	0.11556	0.06333	1.17821	0.91109	1.14131	0.07012	0.08426
ACSM3	0.01978	0.02184	0.01287	0.0127	0.00912	0	0.00675	0.02139	0.01798	0.03022	0.04048	0.01028	0	0
ACSM5	1.053	0.23283	0.14061	0.04405	0.04882	0.04759	0.16581	0.01386	0.02815	1.06573	0.21076	0.22314	0	0
ACSS1	0.01918	0.13761	0.04879	0.02233	0.1045	0.06794	0.10798	0.26284	0.19826	0.04211	0.03009	0.01552	0.42195	0.24764
ACSS2	0.38069	0.27102	0.36038	0.19089	0.02054	0.01157	0.12819	0.06523	0.06348	0.30857	0.32635	0.151	0.07349	0.0514
ACSS3	0.16369	0.14126	0.19961	0.08461	0.01565	0.08396	0.02437	0.0245	0.00381	0.22189	0.22819	0.44122	0.00705	0.00402
ACTA2	0.00544	0.00113	0.01165	0	0.08361	0.02577	0.00015	0.01111	0.10491	0.0921	0.02435	0.01723	0.03701	0.01396
ACTB	1.47863	1.52019	1.67045	1.80305	3.07406	1.74685	2.91067	1.14502	3.82523	1.8414	1.72606	2.2106	2.48298	3.22085
ACTG1	0.7445	1.29833	1.22802	0.99558	2.41113	1.17765	1.84656	0.83688	3.26672	1.75387	1.40751	1.59083	1.89651	2.40675
ACTG1P4	0.00826	0	0.0021	0.00357	0.00038	0	0.00795	0	0.00437	0.01964	0.00646	9e-04	0.00126	0.00418
ACTG2	1e-04	0.00172	0.00013	0	0.03808	0.0167	0.00113	0.00237	0.04803	0.03604	0	0.0022	0.00249	0.01685
ACTL6A	0.06779	0.10282	0.06243	0.05111	0.03998	4e-04	0.05226	0.03718	0.16327	0.06145	0.14528	0.04254	0.01074	0.03049
ACTL8	0.02242	0.08957	0	0	0.00356	0	0.0591	0.00172	0	0.14116	0.01161	0	0	0
ACTN1	0.34332	0.37755	0.5061	0.22456	0.08441	0.04314	0.29272	0.01336	0.07175	0.29209	0.46486	0.34903	0	0
ACTN2	0.00403	0.01317	0.05839	0.01722	0.0012	0	0.00154	0	0	0.03679	0.04987	0	0	0
ACTN4	0.61518	0.41739	0.62202	0.52265	0.47218	0.2461	0.35295	0.2307	0.60068	0.6719	0.84035	0.56799	0.46903	0.33168
ACTR10	0.10681	0.22524	0.13253	0.08359	0.12324	0.03372	0.10778	0.09767	0.14306	0.19167	0.12617	0.10633	0.05568	0.01829
ACTR1A	0.1537	0.33802	0.20573	0.11976	0.30949	0.11606	0.23441	0.30264	0.59321	0.28316	0.21842	0.15154	0.39302	0.26218
ACTR1B	0.13555	0.17647	0.10365	0.04912	0.11394	0.04264	0.08353	0.06778	0.20371	0.17974	0.09671	0.1014	0.12244	0.09625
ACTR2	0.55389	0.71357	0.51164	0.33509	1.22726	0.35035	0.85679	0.52994	1.74204	0.65542	0.41169	0.697	1.08023	1.24345
ACTR3	0.31293	0.38253	0.1871	0.08635	0.7057	0.2294	0.73655	0.26444	1.34539	0.41004	0.2872	0.34352	0.77784	1.04209
ACTR3B	0.0435	0.03821	0.03162	0.00426	0.01962	0.00901	0.01265	0.00091	0.01026	0.01555	0.03542	0.04924	0	0
ACTR3C	0.04647	0.1319	0.03415	0.01043	0.02567	4e-05	0.01634	0.02591	0.01864	0.11131	0.03757	0.05418	0.02486	0
ACTR5	0.03018	0.01562	0.03712	0.02504	0.03413	0.00012	0.00472	0.00914	0.00583	0.04146	0.08056	0.03121	0.01559	0
ACTR6	0.08577	0.29026	0.07964	0.04364	0.10012	0.04181	0.08603	0.03106	0.12923	0.08073	0.21017	0.086	0.1377	0.19062
ACTR8	0.04003	0.0862	0.10202	0.00333	0.05451	0.02485	0.03266	0.10346	0.04183	0.12556	0.01803	0.04235	0.08237	0.13382
ACTRT3	0.09581	0.01983	0.004	0.00693	0.00105	0	0.01941	0	0	0.09	0.01191	0	0	0
