Malignant cells	Immune cells	Stromal cells
ALDH1L1-AS1	0.00508	0.00074	0
ALDH1L1-AS2	0.00564	0.00054	0
ALDH1L2	0.0071	0.04089	0.0391
ALDH2	0.93152	0.24858	0.13255
ALDH3A1	0.03105	0.01004	0.02757
ALDH3A2	0.91964	0.2738	0.23181
ALDH3B1	0.17098	0.20715	0.11167
ALDH4A1	0.3033	0.0843	0.03415
ALDH5A1	0.46197	0.29246	0.23343
ALDH6A1	0.58364	0.1946	0.045
ALDH7A1	0.57232	0.13004	0.03147
ALDH8A1	0.14817	0.06754	0.05719
ALDH9A1	0.30618	0.17689	0.16508
ALDOA	0.63273	0.82865	1.44295
ALDOB	1.48622	0.3577	0.09533
ALDOC	0.24697	0.08413	0.0749
ALG1	0.33729	0.29182	0.25069
ALG10	0.00745	0.00597	0.01124
ALG10B	0.04739	0.02763	0.0827
ALG11	0.04852	0.05713	0.06352
ALG12	0.07904	0.04963	0.07873
ALG13	0.12808	0.18807	0.27739
ALG14	0.05812	0.03132	0.01511
ALG1L	0.0421	0.00543	0
ALG1L9P	0.08122	0.08966	0.07559
ALG2	0.07381	0.10606	0.05458
ALG3	0.30361	0.17142	0.20781
ALG5	0.13648	0.14872	0.17717
ALG6	0.07484	0.05093	0.01669
ALG8	0.24639	0.11272	0.20607
ALG9	0.10984	0.07962	0.13658
ALKBH1	0.01475	0.00474	0.0098
ALKBH2	0.07342	0.01981	0.02931
ALKBH3	0.05287	0.07817	0.18187
ALKBH4	0.14618	0.10104	0.12993
ALKBH5	0.09499	0.09382	0.1213
ALKBH6	0.03637	0.03411	0.02473
ALKBH7	0.21972	0.25099	0.34325
ALKBH8	0.03038	0.01503	0.05146
ALMS1	0.1381	0.08927	0.17972
ALMS1-IT1	0.0329	0.02846	0.02831
ALOX12P2	0.02118	0.00912	0
ALOX15	0.00071	0.00413	0.00085
ALOX5	0.00217	0.04396	0.03002
ALOX5AP	0.0102	0.30839	0.50757
ALPK1	0.04283	0.07606	0.04718
ALPK2	0.05037	0.01337	0.00086
ALPK3	0.00921	0.00759	0
ALPL	0.01629	0.0043	0
ALPP	0.01944	0.02933	0.00979
ALS2	0.1354	0.04477	0.0434
ALS2CL	0.11322	0.01476	0.00275
C2CD6	0.00258	0.00224	0
ALS2CR12	0.02811	0.01892	0.00202
ALX1	0.01173	0.00032	0
ALYREF	0.05796	0.04948	0.18798
AMACR	0.01189	0.00384	0
AMBP	2.96703	0.8829	0.19408
AMBRA1	0.09625	0.05012	0.07758
AMD1	0.21063	0.32761	0.47559
AMDHD1	0.1135	0.01075	0.00073
AMDHD2	0.05252	0.11916	0.14522
AMER1	0.035	0.01166	0.04017
AMER2	0.00061	0.00518	0.00835
AMER3	0.00435	0.00395	0.00787
AMFR	0.1648	0.08676	0.0776
AMIGO1	0.00536	0	0
AMIGO2	0.0053	0.03576	0.02834
AMIGO3	0.00654	0.0058	0
AMMECR1	0.04712	0.07281	0.0323
AMMECR1L	0.05774	0.06332	0.07861
AMN	0.03393	0.00491	0
AMN1	0.0289	0.01805	0.00937
AMOT	0.01314	0.00444	0.01716
AMOTL1	0.05187	0.01339	0
AMOTL2	0.06854	0.00842	0.00933
AMPD1	0.00021	0.0164	0
AMPD2	0.1328	0.06584	0.11325
AMPD3	0.01631	0.07498	0.05748
AMT	0.1823	0.04068	0.02356
AMY2B	0.04262	0.02258	0.00982
AMZ1	0.02666	0.02649	0.01257
AMZ2	0.12235	0.14788	0.4016
AMZ2P1	0.03005	0.04954	0.039
ANAPC1	0.10219	0.07416	0.19772
ANAPC10	0.02208	0.01969	0.02633
ANAPC11	0.44566	0.34766	1.24128
ANAPC13	0.1256	0.08893	0.14117
ANAPC15	0.08936	0.10038	0.42692
ANAPC16	0.67515	0.8736	1.0349
ANAPC1P1	0.00161	0.00493	0.00903
ANAPC2	0.00222	0.00296	0.00638
ANAPC4	0.12412	0.13717	0.20857
ANAPC5	0.40538	0.3404	0.50296
ANAPC7	0.24329	0.17789	0.31039
ANG	0.31043	0.0515	0.03801
ANGEL1	0.06043	0.03239	0.00244
ANGEL2	0.12202	0.09457	0.25146
ANGPT1	0.02469	0.01315	0.00413
ANGPT2	0.07518	0.08467	0.0418
ANGPT4	0.00324	0.00133	0.00278
ANGPTL1	0.00299	0.00286	0
ANGPTL2	0.01093	0	0
ANGPTL3	0.88844	0.12957	0.07418
ANGPTL4	0.08343	0.02654	0.0019
ANGPTL6	0.00639	0.01104	0.05326
ANK2	0.062	0.01958	0
ANK3	0.05897	0.02685	0.05144
ANKAR	0.03213	0.02968	0.00175
ANKDD1A	0.00319	0.01997	0
ANKEF1	0.02037	0.01436	0.00287
ANKFY1	0.04928	0.0721	0.09893
ANKH	0.40567	0.25932	0.19729
ANKHD1	0.1589	0.12888	0.17766
ANKIB1	0.18896	0.24951	0.20625
ANKK1	0.00998	0.01055	0.0066
ANKLE1	0.08052	0.06712	0.09455
ANKLE2	0.16084	0.15989	0.35184
ANKMY1	0.03186	0.02239	0
ANKMY2	0.07698	0.05113	0.09085
ANKRA2	0.11335	0.10682	0.06106
ANKRD1	0.04253	0.01525	0.00353
ANKRD10	0.15387	0.17889	0.2185
ANKRD11	0.55711	0.77203	0.87796
ANKRD12	1.04216	1.60058	1.36522
ANKRD13A	0.15819	0.21035	0.42438
ANKRD13B	0.00806	0.00654	0.00167
ANKRD13C	0.09249	0.09023	0.10601
ANKRD13D	0.05178	0.10161	0.14657
ANKRD16	0.31536	0.26693	0.19014
ANKRD17	0.3121	0.47902	0.54349
ANKRD18A	0.05118	0.00524	0.00067
ANKRD18B	0.00216	0.00057	0
ANKRD18CP	0.02362	0.00315	0.00319
ANKRD18DP	0.00261	0	0
ANKRD20A11P	0.0023	0.01964	0.01287
ANKRD20A19P	0.00115	0.0014	0.00033
ANKRD20A4	0.00997	0.00531	0.01548
ANKRD20A5P	0.03209	0.06778	0.02758
ANKRD20A8P	0.0328	0.01025	0.02594
ANKRD20A9P	0.03284	0.05016	0.05063
ANKRD22	0.03613	0.07742	0.01374
ANKRD23	0.03581	0.02727	0.00139
ANKRD24	0.01162	0.00912	0.00523
ANKRD26	0.30568	0.17733	0.29952
ANKRD26P1	0.01064	0.00053	0.00056
ANKRD27	0.0719	0.07692	0.01715
ANKRD28	0.11018	0.14709	0.1201
ANKRD29	0.02307	0.00519	0
ANKRD30A	0.02539	0.00184	0.00056
ANKRD30B	0.00067	0.00176	0
ANKRD30BL	0.05539	0.0537	0.03281
ANKRD30BP2	0.10098	0.10059	0.0823
ANKRD31	0.00261	0.00137	0.00093
ANKRD33	0.00568	0.00051	0
ANKRD33B	0.01268	0.00665	0.043
ANKRD34A	0.00196	0.00521	0.01044
ANKRD35	0.03523	0.03216	0.08963
ANKRD36	0.27011	0.34981	0.4465
ANKRD36B	0.23843	0.31972	0.30098
ANKRD36BP1	0.0052	0.00106	0
ANKRD36BP2	0.01715	0.38914	0.0776
ANKRD36C	0.27165	0.58571	0.87407
ANKRD37	0.0251	0.05515	0.04252
ANKRD39	0.07013	0.05527	0.10901
ANKRD40	0.10266	0.07274	0.13869
ANKRD42	0.05098	0.07032	0.02328
ANKRD44	0.05144	0.32506	0.47519
ANKRD44-IT1	0.00581	0.03772	0.03484
ANKRD45	0.10934	0.06747	0.05025
ANKRD46	0.04823	0.0264	0.02095
ANKRD49	0.17669	0.20152	0.15856
ANKRD50	0.07089	0.01787	0.01502
ANKRD52	0.11473	0.0716	0.13268
ANKRD53	0.00226	0.00952	0
ANKRD54	0.06574	0.02965	0.06728
ANKRD6	0.07055	0.01233	0
ANKRD60	0.00364	0.0052	0
ANKRD62	0.10422	0.08996	0.07869
ANKRD62P1-PARP4P3	0.0022	0	0
ANKRD65	0.07858	0.01493	0.01418
ANKRD9	0.03384	0.01553	0.00033
ANKS1A	0.08697	0.08792	0.11034
ANKS1B	0.00912	0.0037	0.04167
ANKS3	0.04184	0.02671	0.09434
ANKS4B	0.04881	0.00997	0.00263
ANKS6	0.03052	0.01874	0.00433
ANKZF1	0.38867	0.21642	0.15946
ANLN	0.03881	0.02107	0.56535
ANO1	0.03564	0.01095	0
ANO10	0.11523	0.05986	0.00892
ANO3	0.00733	0.00054	0
ANO5	0.04151	0.00818	0.00083
ANO6	0.33764	0.16154	0.11374
ANO7	0.02047	0.00365	0.00119
ANO8	0.01483	0.01496	0.01846
ANO9	0.09058	0.11601	0.10176
ANP32A	0.2948	0.31214	0.63512
ANP32AP1	0.001	0.00268	0.00514
ANP32B	0.30611	0.74392	1.68152
ANP32C	0.00015	0.00094	0.00084
ANP32E	0.26869	0.30118	1.41137
ANPEP	0.37203	0.09575	0.04732
ANTXR1	0.0047	0.00383	0
ANTXR2	0.04677	0.06276	0.01859
ANTXRLP1	0.00449	0.01588	0
ANXA1	0.01415	0.3126	0.29317
ANXA10	0.03261	0.01125	0
ANXA11	0.32228	0.33483	0.58272
ANXA13	0.0048	0.00074	0
ANXA2	0.6793	0.44413	0.69352
ANXA2P1	0.00105	2e-04	0.00068
