Cell	UMAP_1	UMAP_2	Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Patient	Sample	Tissue
HCC5_COL18_ROW16	8.18812749901788	-11.0334341949492	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW18	7.95073221245782	-11.5089533752471	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW19	9.70191762963311	-9.74543790283495	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW26	9.74555395165459	-9.70735101166063	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW31	7.54334734002129	-9.72012834015184	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW32	8.22533414879815	-11.6712620681792	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW35	8.28161428490655	-11.5099080032378	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW37	9.63921449700372	-9.71683244171434	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL18_ROW40	9.64124296227471	-9.77333192291551	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW6	3.35177038231866	-3.687498373416	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW7	8.77931592980401	-10.0932133621245	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW10	8.43153856316582	-11.9961169189482	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW13	8.00963590661065	-11.7154572433501	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW16	7.92383001366631	-11.7879651016265	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW30	7.57521436730401	-9.62965707245165	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW31	7.56386659661309	-9.71402291717821	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW33	8.30242441216485	-9.739087385562	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL19_ROW36	7.68262193718926	-11.5598690933257	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW1	8.50408456841485	-11.7543366378813	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW10	7.93208787957208	-11.2576888031035	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW12	8.21142194787041	-11.9176190322905	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW17	9.5754346660711	-9.7155163711577	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW21	8.26279161492364	-11.4637234634429	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW28	7.89248750725762	-10.3566439575224	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW30	7.61358068505303	-10.1914360946684	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW36	7.66589162865655	-9.97946099701219	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL20_ROW37	7.93453310051934	-11.4977181381255	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC1_COL1_ROW1	6.66785429039971	-5.39557866516405	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC1_COL8_ROW24	9.08439634362237	-4.64174489441209	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC1_COL10_ROW14	8.63664529839532	-5.36938838424974	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC1_COL14_ROW3	8.99928186455743	-4.78608540954881	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC1_COL14_ROW9	8.43860815087334	-5.38968257370287	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC1_COL18_ROW11	8.37059782067315	-5.69242410126024	4	Immune cells	CD8T	CD8T	Patient 1	Patient 1	Tumor
HCC2_COL1_ROW3	7.19614408532159	-6.41024093094164	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL1_ROW26	7.42058847466485	-6.34965209427171	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL1_ROW27	9.02205083886163	-4.6006858772307	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL1_ROW38	7.55066869774835	-6.55607585373216	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL2_ROW2	8.93341920891778	-4.64213590088182	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL2_ROW8	7.39122579613702	-6.06388310852342	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL2_ROW21	6.82638834038751	-5.40214042129808	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL3_ROW2	8.90585897484795	-4.53055600586229	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL3_ROW21	8.02565191308038	-5.48517827453905	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL3_ROW33	6.74902008095757	-5.36865262451463	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL3_ROW35	8.95634935418145	-4.52346448364549	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL3_ROW38	7.50751779595391	-5.56576947632127	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL4_ROW7	7.50785062829034	-6.6409895843535	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL4_ROW13	8.80035303154961	-4.31448392334276	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL5_ROW5	7.97524259606377	-5.27481584015184	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL5_ROW8	9.0319137386419	-4.54549769821458	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL5_ROW12	6.66913888970391	-5.26713637771898	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL5_ROW17	6.69458292046563	-5.27139310303026	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL6_ROW2	9.0218572429754	-4.63683680954271	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
HCC2_COL6_ROW3	6.7612371257879	-5.45218877258592	4	Immune cells	CD8T	CD8T	Patient 2	Patient 2	Tumor
