CD8T	Malignant	Mono/Macro	Tprolif	B
AGXT	0.30143	0.97499	0.47626	0.07741	0.08592
AGXT2	0.01723	0.03209	0.00732	0	0
AHCTF1	0.16739	0.2333	0.14891	0.25513	0.17329
AHCTF1P1	0	0.00907	0.00052	0	8e-04
AHCY	0.11575	0.60932	0.26546	0.50326	0.25992
AHCYL1	0.36013	0.58738	0.41871	0.40475	0.24702
AHCYL2	0.05407	0.0663	0.02259	0.04037	0.03687
AHDC1	0.02911	0.04163	0.04957	0.00031	0.00973
AHI1	0.2331	0.3746	0.1705	0.57219	0.39853
AHNAK	1.25469	1.35972	1.57352	0.88777	0.65553
AHNAK2	0.01881	0.03664	0.02734	0	0
AHR	0.26952	0.39383	0.42202	0.16223	0.09645
AHRR	0.002	0.00544	0.00436	0	0.00372
AHSA1	0.17798	0.15316	0.20149	0.21607	0.13399
AHSA2P	0.14253	0.40619	0.25646	0.12891	0.13513
AHSG	0.85389	3.30225	1.94898	0.27152	0.10416
AICDA	0.12318	0.13184	0.14252	0.20561	0.1516
AIDA	0.23497	0.25439	0.27693	0.17228	0.1554
AIF1	0.15178	0.05903	1.63945	0.38636	0.07116
AIFM1	0.09311	0.23468	0.16529	0.25318	0.07395
AIFM2	0.03788	0.13296	0.07716	0.09095	0.03871
AIFM3	0.00239	0.02462	0.01004	0	0
AIG1	0.04853	0.62603	0.15339	0.05536	0.07212
CRYBG1	0.36966	0.11327	0.18736	0.38424	0.15275
CRYBG2	0	0.03698	0.00277	0	0
AIM2	0.04751	0.00643	0.01288	0.20446	0.24528
AIMP1	0.30947	0.24823	0.2482	0.62625	0.27014
AIMP2	0.06498	0.13579	0.08099	0.25041	0.03581
AIP	0.25483	0.08603	0.07007	0.44625	0.16656
AIPL1	0.12157	0.12052	0.16355	0.1535	0.10146
AIRE	0.02556	0.02458	0.02466	0.01573	0.02606
AJAP1	0	0.00104	0	0	0
AJUBA	0.02068	0.14255	0.01192	0.01078	0.00783
AK1	0.44032	0.49328	0.4323	0.33064	0.40568
AK2	0.23604	0.42794	0.25746	0.58358	0.16831
AK3	0.51043	0.67629	0.49786	0.38955	0.52068
AK4	0.12854	0.70928	0.34198	0.02369	0.02836
AK7	0	0.00432	0	0	0
AK9	0.03473	0.0497	0.03852	0.04022	0.10156
AKAP1	0.06404	0.31151	0.13167	0.07342	0.0635
AKAP10	0.1725	0.07989	0.12433	0.19304	0.15387
AKAP11	0.22192	0.18845	0.23585	0.42567	0.15955
AKAP12	0.0321	0.06019	0.00798	0.00467	0.01054
AKAP13	1.26492	0.421	0.73312	1.15752	1.00107
AKAP5	0.52573	0.20487	0.21171	0.39768	0.28427
AKAP6	0	0.01757	0.02039	0.00396	0.00284
AKAP7	0.09552	0.07571	0.091	0.04984	0.02391
AKAP8	0.14297	0.16234	0.17633	0.39865	0.19318
AKAP8L	0.18359	0.13615	0.12591	0.12203	0.14889
AKAP9	1.0315	0.92908	1.1635	1.18912	1.55812
AKIP1	0.06497	0.09489	0.08516	0.02809	0.03744
AKIRIN1	0.20075	0.24209	0.29458	0.24972	0.16988
AKIRIN2	0.1756	0.14037	0.13176	0.12918	0.11313
AKNA	0.57449	0.04737	0.11466	0.49377	0.2717
AKR1A1	0.26988	0.71717	0.56527	0.57652	0.77691
AKR1B1	0.15635	0.07092	0.17491	0.42805	0.43976
AKR1B10	0.33287	0.77523	0.60488	0.0531	0.07727
AKR1B15	0	0.00712	0.00189	0	0
AKR1C1	0.43492	1.68647	0.93667	0.10042	0.0303
AKR1C2	0.36614	1.62321	0.94201	0.12334	0.07108
