,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-WX-AA44-01A-11R-A39D-07,1,0.539815207342018,0.64838922625543,0.490964445428622
TCGA-BC-A10Y-01A-11R-A131-07,2,0.698177425443391,0.663210539990144,0.534809202962247
TCGA-DD-A1EG-01A-11R-A213-07,1,0.659653029283436,0.638412535588735,0.624479277267253
TCGA-2Y-A9GY-01A-11R-A38B-07,1,0.662102570019581,0.402191584314835,0.653532870818634
TCGA-DD-A4NO-01A-11R-A28V-07,2,0.762902919120946,0.772538138452041,0.536980988979484
TCGA-DD-AACW-01A-11R-A41C-07,1,0.717555765845418,0.622415721370515,0.434504140236407
TCGA-BC-A69H-01A-11R-A311-07,1,0.618171764758585,0.516692512896356,0.80121557164933
TCGA-DD-A3A8-01A-11R-A22L-07,2,0.77308698653488,0.824793403453159,0.473308424808487
TCGA-5C-AAPD-01A-21R-A39D-07,1,0.633192691232527,0.48628839420143,0.739375783154392
TCGA-KR-A7K7-01A-11R-A33J-07,1,0.689785435531119,0.602720341582319,0.891613843040551
TCGA-2Y-A9H4-01A-11R-A38B-07,2,0.903626698890434,0.717617050493756,0.79770408314012
TCGA-G3-A6UC-01A-21R-A33J-07,2,0.806779636189649,0.763781651239026,0.361423889743713
TCGA-CC-A5UC-01A-11R-A28V-07,1,0.784455518352092,0.624024707307699,0.713664310838085
TCGA-DD-AAVR-01A-11R-A41C-07,2,0.839397438173733,0.610972176192597,0.63170285813372
TCGA-DD-AADO-01A-11R-A41C-07,1,0.742368662255329,0.602282805334095,0.485714357368196
TCGA-DD-AAVV-01A-11R-A41C-07,1,0.637711657665526,0.580277745277413,0.571513204610908
TCGA-ZP-A9CV-01A-11R-A38B-07,2,0.75662343841741,0.803639000364952,0.655487967897575
TCGA-DD-AADI-01A-11R-A41C-07,1,0.565304815363831,0.426625335340365,0.322255354734276
TCGA-DD-AACJ-01A-11R-A41C-07,2,0.816801986548015,0.770461804300112,0.674637429352671
TCGA-DD-A116-01A-11R-A131-07,2,0.745961211730751,0.725091377151418,0.67689618055577
TCGA-RC-A6M6-01A-11R-A32O-07,1,0.5922243083946,0.393530782949249,0.80058774755229
TCGA-CC-5263-01A-01R-A131-07,1,0.255155774147122,0.511716154801449,0.650598838708679
