DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
NMNAT1	0.03718	0.04418	0.00751	0.02097	0.01635	0.02007	0.02552	0.04505	0.00618	0.03299	0.0107
RBP7	0.08166	0.15491	0.00286	0.003	0.00362	0.00139	0.02249	0.04098	0.00061	0.61087	0
UBE4B	0.07986	0.07977	0.05599	0.0631	0.04324	0.07016	0.06138	0.07393	0.0495	0.07297	0.03886
KIF1B	0.23806	0.17442	0.05637	0.10481	0.0727	0.0523	0.17599	0.14209	0.03528	0.19412	0.03242
PGD	0.28212	0.24876	0.0403	0.24494	0.08411	0.05118	0.10991	0.26607	0.05265	0.0856	0.15622
RP4-736L20.3	0	0	0	0.00079	0	0	0	0.00112	0	0	0
APITD1-CORT	0.00246	0.00116	0.001	0.00199	0.00141	0	0	0.01142	0.00192	0.00179	0
APITD1	0.02259	0.00621	0.00693	0.04504	0.01215	0.02266	0.01886	0.09043	0.01397	0.03345	0
CORT	0	0.00023	0	0.00053	0	0.00121	0.0013	0.00134	0	0.00275	0
DFFA	0.09228	0.09442	0.05313	0.12478	0.07116	0.07531	0.12359	0.13095	0.06884	0.124	0.04189
PEX14	0.02416	0.01989	0.02555	0.02381	0.01966	0.02533	0.02914	0.02721	0.03386	0.04272	0.02525
CASZ1	0.00306	0.00302	0.03162	0.04532	0.04319	0.0166	0.00736	0.00909	0.01871	0.0731	0.02306
C1orf127	0.0014	0.00619	0	0.00021	0.00073	0	0	0.00321	0	0	0
TARDBP	0.18632	0.18142	0.11296	0.18446	0.13048	0.09673	0.18826	0.25511	0.14294	0.17455	0.19598
MASP2	0.00249	0.00176	0.00124	0.0551	0.01941	0	0.00206	0.00193	0	0	0
RP4-635E18.8	0.0021	0.0018	0.00116	0.00136	0.00219	0.00137	0.00577	0	0	0	0
SRM	0.28924	0.27308	0.12677	0.51492	0.16725	0.22327	0.37841	0.3584	0.2208	0.30372	0.12424
EXOSC10	0.0838	0.08067	0.05143	0.06221	0.04245	0.05591	0.10854	0.15522	0.06472	0.06321	0.01747
RP4-635E18.7	0	0.00108	0.00142	0.00135	0.00265	0.00459	0.00192	0	0	0	0
RP4-635E18.6	0.00293	0.00347	0.00027	0.00209	0	0.00184	0.00418	0.00696	0.00373	0.00447	0.00625
MTOR	0.02922	0.03433	0.02949	0.05215	0.0348	0.0496	0.05944	0.05555	0.02157	0.04082	0.02375
UBIAD1	0.02951	0.0309	0.03654	0.05674	0.01841	0.0313	0.02853	0.04883	0.05861	0.07554	0.04151
FBXO2	0.00349	0.00312	0.01945	0.0501	0.01232	0.05852	0	0.01096	0.02274	0	0
FBXO44	0.01748	0.02005	0.03193	0.02214	0.02396	0.0429	0.02195	0.02376	0.03637	0.03376	0
FBXO6	0.06397	0.09516	0.033	0.04725	0.02142	0.03555	0.02872	0.10051	0.03771	0.01437	0
MAD2L2	0.1637	0.15318	0.07186	0.0871	0.03017	0.13745	0.1223	0.41837	0.06564	0.12143	0.01662
DRAXIN	0.00301	0.00353	0.00719	0.00047	0.00061	0.00602	0.00069	0.00525	0.00363	0	0
AGTRAP	0.28605	0.3392	0.10173	0.1951	0.07561	0.24248	0.18166	0.40539	0.02132	0.17658	0.17517
C1orf167	0.00035	0.00067	0	0.00475	0.00295	0	0.00296	0.00053	0.00146	0	0
MTHFR	0.11487	0.14748	0.03182	0.04097	0.03175	0.0366	0.12079	0.10354	0.06525	0.06749	0.01482
CLCN6	0.04647	0.05738	0.01115	0.02985	0.02521	0.01182	0.04282	0.04698	0.04917	0.04057	0.01177
NPPA-AS1	0.00416	0.00403	0.00109	0.00255	0.00539	0.00142	0	0.00108	0.00699	0.00657	0
NPPB	0.00454	0.00182	0.00148	0.01859	0.01454	0.00129	0.00175	0.00279	0	0	0
KIAA2013	0.21268	0.19293	0.0654	0.12971	0.07084	0.08255	0.19276	0.24332	0.09381	0.17582	0.05216
PLOD1	0.1809	0.1491	0.00657	0.1259	0.07933	0.01281	0.29946	0.14923	0.01612	0.22605	0
MFN2	0.07547	0.0767	0.03256	0.04884	0.02461	0.02917	0.05779	0.08564	0.03781	0.07785	0.02131
MIIP	0.07244	0.11042	0.06943	0.05731	0.03549	0.16195	0.11072	0.19002	0.06719	0.05432	0.14645
TNFRSF8	0.00688	0.01801	0.00029	0.00043	0.00032	0.04674	0.00302	0.01719	0	0.02072	0
TNFRSF1B	0.70577	0.73286	0.63353	0.03715	0.07771	1.19295	0.20827	0.60661	0.28287	0.27595	0.02614
VPS13D	0.07787	0.08166	0.04474	0.06734	0.06231	0.04024	0.17237	0.07472	0.05623	0.18119	0.05046
DHRS3	0.53434	0.41109	0.14043	0.29833	0.15794	0.04143	0.17403	0.38718	0.02217	0.11909	0.01944
RP11-474O21.5	0.00498	0.00116	0.00066	0.00114	0.00267	0	0	0.00467	0	0.00746	0
PDPN	0.01683	0.00455	0	0.00074	4e-04	0	0.02792	0.00477	0	0.00269	0
PRDM2	0.18237	0.1895	0.35902	0.08349	0.0969	0.39641	0.16343	0.25412	0.7013	0.21537	0.16957
KAZN	0.00654	0.00233	0.00056	0.02491	0.01197	0.00273	0.09752	0.00192	0.002	0.07224	0.03576
TMEM51-AS1	0.02383	0.00943	0.00129	0.00941	0.01368	0	0.004	0.00664	0	0	0
TMEM51	0.47135	0.26707	0.00498	0.04382	0.03964	0.00627	0.13118	0.21103	0.00298	0.0363	0
FHAD1	0.02862	0.03052	0.00348	0.0032	0.00425	0.00183	0.0064	0.01805	0	0.00357	0
RP3-467K16.2	0.00316	0.00953	0.00042	0.00025	3e-04	0	0	0.00954	0	0	0
RP3-467K16.4	0.00358	0.00135	0.00218	0.00024	0	0.00113	0.00138	0.00081	0	0	0
EFHD2	1.28112	1.32916	0.51515	0.31713	0.23476	0.7951	0.33442	1.15105	0.31698	0.46846	0.72381
CTRC	0.00346	0.00158	0.00323	0.00013	0	0.00114	0	0.00168	0	0.00938	0
CELA2A	0.00077	0.00016	0.0011	0.00011	0	0	0	0	0	0.00357	0
CASP9	0.03768	0.03272	0.02399	0.02292	0.01646	0.02998	0.04336	0.06138	0.02712	0.03821	0.04339
DNAJC16	0.07197	0.0883	0.02488	0.07266	0.04457	0.04101	0.08129	0.07062	0.06044	0.04044	0.05024
RP4-680D5.8	0	0	0	0.00191	8e-04	0.00086	0	0.00095	0	0.00316	0
AGMAT	0.00638	0.00769	0.0109	0.14153	0.0396	0.02153	0.00396	0.01554	0.0178	0	0
RP4-680D5.2	0.00168	0.00141	0.00194	0.00084	0.00319	0	0.00166	0.00774	0.00128	0.00236	0.00844
DDI2	0.1712	0.13571	0.0684	0.09019	0.07014	0.06837	0.07895	0.12205	0.11299	0.17519	0.0553
RP4-680D5.9	0.00123	0.0012	0.00018	0.00012	0.00047	0	0.00362	0.00137	0	0	0
